"X","id","itemTime","trial","RT","number_chosen","number_not_chosen","quantifier","clicked_left","language","comments","engagement","difficulty","time","time_minutes","quantifier_num","chose_higher","higher","lower","id_int","pred_barker","pred_barker_chosen","pred_barker_not_chosen","pred_distance","pred_distance_chosen","pred_distance_not_chosen","pred_closer","pred_closer_chosen","pred_closer_not_chosen","mode_barker","mode_distance","mode_closer","a_barker","a_distance","a_closer","b_barker","b_distance","b_closer"
71,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877788326,21,3570,360,40,"Many",0,"English",NA,8,6,757997,12.6332833333333,6,1,360,40,1,0.888,0.888,0.112,0.979,0.979,0.021,0.714,0.714,0.286,432,432,432,12.146,50.594,50.283,0.69,0.503,0.505
72,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877793314,22,4983,360,288,"Many",1,"English",NA,8,6,757997,12.6332833333333,6,1,360,288,1,0.731,0.731,0.269,0.705,0.705,0.295,0.714,0.714,0.286,432,432,432,12.146,50.594,50.283,0.69,0.503,0.505
73,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877796289,23,2971,360,230,"Many",1,"English",NA,8,6,757997,12.6332833333333,6,1,360,230,1,0.855,0.855,0.145,0.828,0.828,0.172,0.714,0.714,0.286,432,432,432,12.146,50.594,50.283,0.69,0.503,0.505
74,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877800501,24,4208,362,360,"Many",0,"English",NA,8,6,757997,12.6332833333333,6,1,362,360,1,0.507,0.507,0.493,0.506,0.506,0.494,0.714,0.714,0.286,432,432,432,12.146,50.594,50.283,0.69,0.503,0.505
75,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877803692,25,3187,362,264,"Many",1,"English",NA,8,6,757997,12.6332833333333,6,1,362,264,1,0.798,0.798,0.202,0.765,0.765,0.235,0.714,0.714,0.286,432,432,432,12.146,50.594,50.283,0.69,0.503,0.505
76,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877807064,26,3366,344,362,"Many",1,"English",NA,8,6,757997,12.6332833333333,6,0,362,344,1,0.44,0.56,0.44,0.446,0.554,0.446,0.286,0.714,0.286,432,432,432,12.146,50.594,50.283,0.69,0.503,0.505
77,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877812328,27,5259,359,344,"Many",0,"English",NA,8,6,757997,12.6332833333333,6,1,359,344,1,0.55,0.55,0.45,0.545,0.545,0.455,0.714,0.714,0.286,432,432,432,12.146,50.594,50.283,0.69,0.503,0.505
78,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877815433,28,3096,359,45,"Many",1,"English",NA,8,6,757997,12.6332833333333,6,1,359,45,1,0.887,0.887,0.113,0.978,0.978,0.022,0.714,0.714,0.286,432,432,432,12.146,50.594,50.283,0.69,0.503,0.505
79,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877819839,29,4396,359,361,"Many",0,"English",NA,8,6,757997,12.6332833333333,6,0,361,359,1,0.493,0.507,0.493,0.494,0.506,0.494,0.286,0.714,0.286,432,432,432,12.146,50.594,50.283,0.69,0.503,0.505
80,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877824949,30,5104,359,361,"Many",0,"English",NA,8,6,757997,12.6332833333333,6,0,361,359,1,0.493,0.507,0.493,0.494,0.506,0.494,0.286,0.714,0.286,432,432,432,12.146,50.594,50.283,0.69,0.503,0.505
