"X","id","itemTime","trial","RT","number_chosen","number_not_chosen","quantifier","clicked_left","language","comments","engagement","difficulty","time","id_int","time_minutes","quantifier_num","chose_higher","higher","lower"
139,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511017502,39,61384,379,375,"Some",1,"english",NA,3,0,162666,46,2.7111,8,1,379,375
140,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511017647,40,143,349,379,"Some",1,"english",NA,3,0,162666,46,2.7111,8,0,379,349
141,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511017809,41,161,349,337,"Some",1,"english",NA,3,0,162666,46,2.7111,8,1,349,337
142,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511017939,42,129,349,26,"Some",1,"english",NA,3,0,162666,46,2.7111,8,1,349,26
143,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511018063,43,123,349,343,"Some",1,"english",NA,3,0,162666,46,2.7111,8,1,349,343
144,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511018211,44,147,349,368,"Some",1,"english",NA,3,0,162666,46,2.7111,8,0,368,349
145,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511018365,45,153,332,349,"Some",1,"english",NA,3,0,162666,46,2.7111,8,0,349,332
146,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511018515,46,148,332,345,"Some",1,"english",NA,3,0,162666,46,2.7111,8,0,345,332
147,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511018781,47,265,311,332,"Some",1,"english",NA,3,0,162666,46,2.7111,8,0,332,311
148,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511018997,48,215,320,311,"Some",1,"english",NA,3,0,162666,46,2.7111,8,1,320,311
149,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511019145,49,147,320,66,"Some",1,"english",NA,3,0,162666,46,2.7111,8,1,320,66
150,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511019283,50,137,320,325,"Some",1,"english",NA,3,0,162666,46,2.7111,8,0,325,320
161,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511023103,11,170,28,21,"About half",1,"english",NA,3,0,162666,46,2.7111,1,1,28,21
162,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484511023319,12,215,28,28,"About half",1,"english",NA,3,0,162666,46,2.7111,1,0,28,28
